,0
 Python,15711
 Jupyter/IPython,14010
 Matplotlib,13392
 Scikit-Learn,12249
 TensorFlow,9981
 RStudio,8503
 SQL,8267
 Keras,8136
 Notepad++,7831
 Seaborn,7775
 ggplot2,7751
 None,7597
 Instabase,7493
 Amazon Web Services (AWS),7460
 I have not used any cloud providers,7103
 PyCharm,7060
 R,6685
 MySQL,6188
 Kaggle Kernels,6042
 Sublime Text,5985
 randomForest,5967
 MATLAB,5671
 Plotly,5597
 Xgboost,5571
 None,5389
 None,5370
 Spyder,5339
 Visual Studio,5111
 Visual Studio Code,5082
 JupyterHub/Binder,4916
 Google Cloud Platform (GCP),4783
 C/C++,4383
 Vim,4240
 Dataversity,4127
 Java,3999
 Atom,3906
 AWS Elastic Compute Cloud (EC2),3872
 PostgresSQL,3852
 PyTorch,3826
 Microsoft Azure,3805
 SQLite,3729
 Google Colab,3532
 IntelliJ,3456
 None,3376
 Javascript/Typescript,3249
 Microsoft SQL Server,3124
 None,2918
 Bash,2708
 MATLAB,2652
 Shiny,2628
 Oracle Database,2415
 Caret,2220
 D3,2219
 Google Compute Engine,2205
 lightgbm,2099
 Spark MLlib,2055
 None,1921
 Bokeh,1907
 AWS Lambda,1691
 C#/.NET,1670
 Amazon Translate,1492
 Azure Virtual Machines,1456
 IBM Cloud Streaming Analytics,1413
 IBM Cloud Compose for MySQL,1393
 IBM Cloud Compose for PostgreSQL,1385
 Google App Engine,1382
 NexusDB,1370
 None,1362
 Microsoft Access,1354
 H20,1307
 Google Cloud Datalab,1307
 Azure Notebook,1304
 Visual Basic/VBA,1274
 Other,1257
 PHP,1208
 Google BigQuery,1205
 IBM Cloud,1204
 Google Cloud Functions,1199
 Caffe,1101
 Fastai,1099
 SAS/STATA,1052
 catboost,1037
 Leaflet,1013
 AWS Redshift,942
 AWS Relational Database Service,898
 Lattice,872
 SAS,858
 Databricks,831
 Cloudera,810
 Scala,788
 Other,776
 Geoplotlib,768
 AWS Elastic Beanstalk,766
 Azure Machine Learning Studio,758
 CNTK,744
 Prophet,732
 AWS DynamoDB,730
 Other,690
 Azure SQL Database,668
 Google Cloud Machine Learning Engine,665
 Google Cloud Vision API,664
 Other,624
 Google Cloud Speech-to-text API,624
 RapidMiner,624
 Google Cloud Natural Language API,622
 AWS Elastic MapReduce,621
 Google Kubernetes Engine,616
 Google Cloud SQL,615
 Teradata,597
 Mxnet,594
 Other,585
 Other,563
 Azure Functions,555
 Alibaba Cloud,549
 Other,536
 Google Cloud Translation API,530
 mlr,528
 Google Cloud Datastore,515
 Google Cloud Bigtable,513
 AWS Batch,495
 IBM Watson Machine Learning,489
 Amazon SageMaker,486
 Paperspace,480
 None,474
 Azure Container Service,472
 IBM Watson Studio,461
 Azure Machine Learning Workbench,459
 Google Cloud AutoML,432
 Microsoft Analysis Services,421
 Go,394
 Other,389
 Google Cloud Dataflow,385
 AWS Athena,383
 Floydhub,361
 IBM Cloud Virtual Servers,345
 Ruby,342
 AWS Kinesis,334
 Azure Cognitive Services,333
 None,332
 IBM Watson Assistant,329
 IBM Cloud Foundry,322
 AWS Aurora,314
 Amazon Rekognition,299
 IBM Watson Text to Speech,295
 Google Cloud Pub/Sub,286
 H20 Driverless AI,283
 Azure SQL Data Warehouse,283
 Other,266
 Other,259
 Azure Computer Vision API,259
 IBM Cloud Db2,255
 Azure Database for MySQL,252
 DataRobot,250
 IBM Watson Discovery,248
 Azure HDInsight,239
 Snowflake,239
 Google Cloud Dataproc,237
 Azure Kubernetes Service,236
 Azure Batch,231
 Julia,230
 Dataiku,223
 Altair,219
 Azure Cosmos DB,213
 AWS Batch,212
 Google Cloud Dataprep,212
 IBM Watson Visual Recognition,212
 Oracle Exadata,211
 Amazon Lex,209
 AWS SimpleDB,199
 IBM Watson Knowledge Catalog,196
 Azure Face API,184
 Google Cloud Video Intelligence API,174
 Google Dialogflow Enterprise Edition,172
 IBM Cloud Container Registry,164
 Azure Stream Analytics,163
 Azure Cortana Intelligence Suite,159
 IBM Cloud Kubernetes Service,158
 IBM Cloud Analytics Engine,141
 Crestle,138
 Azure Database for PostgreSQL,137
 Amazon Comprehend,132
 Amazon Rekognition Video,130
 Azure Bing Speech API,129
 nteract,127
 Oracle Warehouse Builder,125
 Google Fusion Tables,120
 Domino Datalab,119
 Algorithmia,119
 Azure Event Grid,119
 Amazon Transcribe,118
 Azure Speaker Recognition API,117
 Google Cloud Spanner,103
 Azure Video API,88
 Domino Datalab,84
 SAP IQ,71
 IBM InfoSphere DataStorage,67
 IBM Cloud Compose,66
 SAP IQ,61
 Ingres,59
